col1_1a,col1_1,RA_d,DEC_d,FWHM_d,R_SAT_d,IND_d,MAG_d,MAG_d_unc,AP_d,AP_d_unc,PSF_d,PSF_d_unc,SKY_d,VISION,col1_2,ra_1,dec_1,wfc3m,wfc3u,nic1.6m,nic1.6u,nic2.05m,nic2.05u,irtfm,irtfu,hops,separation_2,closesthops,4thnearest,Separation_1,col1_3,ra_s,dec_s,b36_s,unc36_s,b45_s,unc45_s,b58_s,unc58_s,b8_s,unc8_s,J,uncJ,H,uncH,Ks,uncKs,class,col1_2a,Unnamed: 0.4,ra_v,dec_v,J_v,Je_v,H_v,He_v,Ks_v,Kse_v,Separation
54,54.0,83.73678637010386,-5.755006521622758,2.378512620925903,0.0,102.0,21.438474843078616,0.0491368360817432,21.438474843078616,0.0491368360817432,,,0.3905829191207886,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55.0,83.73727301034717,-5.632066021020951,2.468825578689575,0.0,103.0,20.686445424133304,0.0607123374938964,20.686445424133304,0.0607123374938964,,,0.4411141872406006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56.0,83.73756021667852,-5.74544348629767,2.489943742752075,0.0,104.0,19.24262828546142,0.0088673317804932,19.24262828546142,0.0088673317804932,,,0.4412216246128082,0.0,,,,,,,,,,,,,,,,,43835.0,83.7375,-5.74535,15.345,0.042,14.883,0.049,,,,,,,,,,,star_or_galaxy,265,265,83.737565,-5.7454,,,18.979,0.085,16.715,0.039,0.1574854533040363
57,57.0,83.74018202312458,-5.641706198022194,2.435961484909058,0.0,107.0,21.536031910949703,0.060822308063507,21.536031910949703,0.060822308063507,,,0.4814401865005493,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58.0,83.7406377675261,-5.517124287179986,2.578681945800781,0.0,110.0,18.476604649597164,0.0091296192258596,18.476604649597164,0.0091296192258596,,,1.443145155906677,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,285,83.740666,-5.517138,19.992,0.3,18.386,0.086,17.454,0.102,0.11256816266757998
59,59.0,83.74069821757568,-5.635091127755769,2.202797651290894,0.0,111.0,21.32234019952392,0.0542935281991958,21.32234019952392,0.0542935281991958,,,0.4110731482505798,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60.0,83.74223304128986,-5.627936709377036,2.536724328994751,0.0,112.0,20.872289845520022,0.0488570146262645,20.872289845520022,0.0488570146262645,,,0.4302066564559937,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61.0,83.74240738297419,-5.557870124327771,2.514007329940796,0.0,114.0,19.211263844543453,0.0181399956345558,19.211263844543453,0.0181399956345558,,,1.185086369514465,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,293,83.742401,-5.557901,20.623,0.215,19.526,0.121,18.843,0.137,0.11348096106986223
62,62.0,83.74359351069882,-5.515975840026174,2.704354286193848,0.0,116.0,19.30071849542237,0.0186333786696195,19.30071849542237,0.0186333786696195,,,1.397510766983032,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,300,83.7436,-5.516005,,,19.396,0.166,18.529,0.215,0.10752049605264524
63,63.0,83.74459029472709,-5.517711553238517,2.50069785118103,0.0,119.0,20.08332843499756,0.0296697076410055,20.08332843499756,0.0296697076410055,,,1.183225154876709,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64.0,83.74684291822119,-5.554699632401467,2.322981834411621,0.0,123.0,21.17978877740478,0.0738575682044029,21.17978877740478,0.0738575682044029,,,1.368575096130371,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65.0,83.74861302652121,-5.494157116632939,2.098971128463745,0.0,130.0,20.808525273376468,0.0354606844484806,20.808525273376468,0.0354606844484806,,,1.624741435050964,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66.0,83.74900322044346,-5.520677599953385,2.66661524772644,0.0,132.0,19.21035785394288,0.014840037561953,19.21035785394288,0.014840037561953,,,1.576077699661255,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,345,83.749038,-5.520816,,,19.078,0.133,18.148,0.164,0.5135901197650824
67,67.0,83.75156062613085,-5.489859778026464,2.609326362609863,0.0,137.0,20.83429164605713,0.0380568131804466,20.83429164605713,0.0380568131804466,,,1.956813335418701,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68.0,83.7517707053364,-5.784611716131766,2.158434391021729,0.0,138.0,20.926098057800296,0.0674520432949066,20.926098057800296,0.0674520432949066,,,0.2628734707832336,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,362,83.751805,-5.784591,,,,,19.356,0.208,0.14369974052644502
69,69.0,83.75189025842485,-5.713065519712398,2.559399366378784,0.0,139.0,21.38325710015869,0.0706608742475509,21.38325710015869,0.0706608742475509,,,0.2969807684421539,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
